composite_error,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,error_message,sigma_exc,sigma_inh,g_exc,g_inh
0.6417410705835794,0.06475601927851038,0.634939188959159,0.9531275196366469,0.10198774840908138,0.06794056193361912,1.1951132673482623,,0.2,0.1,1. mV,-0.475 mV
0.7246900334220219,0.08363775733090373,0.6176247436580263,0.9817068815791535,0.13541840225078358,0.08519626265262167,1.334050520432525,,0.2,0.1,1. mV,-300. uV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.3,0.5 mV,-1. mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.3,0.5 mV,-0.825 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.3,0.5 mV,-0.65 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.3,0.5 mV,-0.475 mV
0.2898902411710291,0.002790539194111874,0.993916114076988,0.11047586254247885,0.0028076204083149784,0.025259265959918526,0.5679922037131018,,0.2,0.3,0.5 mV,-300. uV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.3,0.625 mV,-1. mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.3,0.625 mV,-0.825 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.3,0.625 mV,-0.65 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.3,0.625 mV,-0.475 mV
0.09450068571028686,0.0018046757796543744,0.9704447774340214,0.2449521130235512,0.0018596377692193754,0.007367463613105725,0.1849386033137998,,0.2,0.3,0.625 mV,-300. uV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.3,0.75 mV,-1. mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.3,0.75 mV,-0.825 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.3,0.75 mV,-0.65 mV
0.27610122090694184,0.004015154347619898,0.9929157053630012,0.11924342604849152,0.004043801790519544,0.033671913670000525,0.5363073952715718,,0.2,0.3,0.75 mV,-0.475 mV
0.03159283811409513,0.0005453968828998956,0.9386335129564102,0.35589369296496043,0.0005810541276877277,0.001532471335347864,0.06222405521743847,,0.2,0.3,0.75 mV,-300. uV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.3,0.875 mV,-1. mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.3,0.875 mV,-0.825 mV
0.4255756184535286,0.0007963267948964958,0.9992524735024947,0.038672885262753295,0.0007969225076181737,0.02059134686967501,0.8424365446546163,,0.2,0.3,0.875 mV,-0.65 mV
0.1405353048126682,0.004576736575406581,0.9785364804939232,0.20831322840111627,0.004677124072395544,0.021970455791669046,0.26947615286523147,,0.2,0.3,0.875 mV,-0.475 mV
0.04480314902626557,0.0021102698343145043,0.9015028442840198,0.45539448875454097,0.0023408354441545234,0.004633938017313043,0.0863482215791132,,0.2,0.3,0.875 mV,-300. uV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.3,1. mV,-1. mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.3,1. mV,-0.825 mV
0.2663188063146782,0.0003010225572628311,0.9926979617596624,0.12106872877766484,0.00030323680094685465,0.0024863774510727726,0.5314611195683592,,0.2,0.3,1. mV,-0.65 mV
0.04875731759708659,0.0019035344913902465,0.9529561060194629,0.31043976754401376,0.0019975048791767962,0.006131735332910807,0.09386343813350279,,0.2,0.3,1. mV,-0.475 mV
0.13191397856149337,0.0016873626138647069,0.8544431264620883,0.5609016395384037,0.001974809723267729,0.0030083039430109865,0.2614397497118217,,0.2,0.3,1. mV,-300. uV
