composite_error,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,error_message,g_cosine,glob_inh,w_inh
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.81062124 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.80460922 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.80160321 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.79859719 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.80761523 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.81362725 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.79258517 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.78657315 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.78056112 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.78356713 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.7745491 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.77755511 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.77154309 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.75951904 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.76853707 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.76553106 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.76252505 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.78957916 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.75651303 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.75350701 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.79559118 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.750501 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.74749499 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.82264529 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.74148297 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.74448898 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.73847695 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.73547094 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.73246493 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.72945892 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.72344689 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.72645291 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.71142285 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.72044088 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.71743487 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.71442886 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.70841683 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.70541082 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.70240481 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.69639279 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.69338677 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.69038076 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.68436874 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.68737475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.67835671 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.6753507 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.67234469 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.6993988 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.66633267 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.66933868 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.68136273 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.65731463 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.66032064 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.66332665 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.63927856 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.64829659 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.65130261 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.64228457 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.65430862 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.64529058 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.63627255 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.63326653 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.62725451 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.63026052 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.61222445 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.61523046 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.61823647 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.60621242 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.60921844 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.6002004 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.6242485 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.60320641 mV
